Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Chevrolet;2021;Silverado;USED;Automatic;8;8 cyl;6.2;6.2 L;8 cyl, 6.2 L;4WD;Unleaded;41427;Cannington, WA;North America;Ute / Tray;4; 4 Doors;5; 5 Seats;121998
Kia;2021;Stonic;USED;Automatic;4;4 cyl;1.4;1.4 L;4 cyl, 1.4 L;Front;Unleaded;48730;East Bunbury, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;23990
Toyota;2021;Landcruiser;USED;Automatic;4;4 cyl;2.8;2.8 L;4 cyl, 2.8 L;4WD;Diesel;20835;Maddington, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;96888
Ford;2021;Ranger;USED;Manual;5;5 cyl;3.2;3.2 L;5 cyl, 3.2 L;4WD;Diesel;45460;Maddington, WA;North America;Ute / Tray;4; 4 Doors;5; 5 Seats;60990
Mitsubishi;2021;Outlander;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;AWD;Unleaded;62184;Jandakot, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;30965
Subaru;2021;Forester;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Hybrid;133753;Canning Vale, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;32990
Toyota;2021;RAV4;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;61284;Melville, WA;Asia;SUV;5; 5 Doors;5; 5 Seats;43989
MG;2021;MG3;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Premium;31650;Osborne Park, WA;Europe;Hatchback;5; 5 Doors;5; 5 Seats;15990
Ford;2021;Ranger;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;4WD;Diesel;54348;Maddington, WA;North America;Ute / Tray;4; 4 Doors;5; 5 Seats;63979
Toyota;2021;Corolla;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;35179;Bentley, WA;Asia;Hatchback;5; 5 Doors;5; 5 Seats;29588
Nissan;2021;Juke;USED;Automatic;3;3 cyl;1;1 L;3 cyl, 1 L;Front;Premium;2865;Bunbury, WA;Asia;SUV;5; 5 Doors;5; 5 Seats;31990
Mitsubishi;2021;Triton;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;4WD;Diesel;17778;Bibra Lake, WA;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;54668
Toyota;2021;RAV4;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;48969;Myaree, WA;Asia;SUV;5; 5 Doors;5; 5 Seats;47850
Volkswagen;2021;Tiguan;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Premium;69211;Osborne Park, WA;Europe;SUV;4; 4 Doors;7; 7 Seats;54990
Mitsubishi;2021;ASX;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;84380;Myaree, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;22850
Ford;2021;Ranger;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;4WD;Diesel;116665;Osborne Park, WA;North America;Ute / Tray;4; 4 Doors;5; 5 Seats;46888
Mitsubishi;2021;Pajero;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;4WD;Diesel;83083;Morley, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;50888
Mitsubishi;2021;Pajero;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;4WD;Diesel;63014;Canning Vale, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;53880
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;38151;Maddington, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;27588
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;24291;Victoria Park, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;26977
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;38303;Victoria Park, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;25977
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;35880;Bentley, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;28980
