Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Porsche;1978;911;USED;Manual;6;6 cyl;3;3 L;6 cyl, 3 L;Rear;Leaded;145600;Medlow Bath, NSW;Europe;Convertible;2; 2 Doors;4; 4 Seats;97500
Holden;1984;HDT;USED;Manual;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Leaded;204733;Chipping Norton, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;148880
Bentley;1985;Mulsanne;USED;Automatic;8;8 cyl;6.8;6.8 L;8 cyl, 6.8 L;Rear;Leaded;93182;Laverton North, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;49990
Holden;1985;Commodore;USED;Automatic;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Leaded;259000;Saint Marys, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;69000
Jaguar;1986;Xjsc;USED;Automatic;12;12 cyl;5.3;5.3 L;12 cyl, 5.3 L;Rear;Unleaded;136947;Rushcutters Bay, NSW;Europe;Convertible;2; 2 Doors;2; 2 Seats;69990
Mercedes-Benz;1989;560;USED;Automatic;8;8 cyl;5.5;5.5 L;8 cyl, 5.5 L;Rear;Unleaded;198000;Waitara, NSW;Europe;Convertible;2; 2 Doors;2; 2 Seats;59999
Mercedes-Benz;1989;420;USED;Automatic;8;8 cyl;4.2;4.2 L;8 cyl, 4.2 L;Rear;Unleaded;170744;Thomastown, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;24990
Mercedes-Benz;1989;190;USED;Automatic;6;6 cyl;2.6;2.6 L;6 cyl, 2.6 L;Rear;Unleaded;150426;Moorooka, QLD;Europe;Sedan;4; 4 Doors;5; 5 Seats;19990
Honda;1990;Integra;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;233543;Liverpool, NSW;Asia;Coupe;2; 2 Doors;4; 4 Seats;4999
BMW;1990;M5;USED;Manual;6;6 cyl;3.5;3.5 L;6 cyl, 3.5 L;Rear;Premium;115198;Nunawading, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;71990
Ford;1990;Maverick;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;382463;Coopers Plains, QLD;North America;SUV;4; 4 Doors;7; 7 Seats;12900
Toyota;1991;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;450000;Mornington, VIC;Asia;SUV;4; 4 Doors;8; 8 Seats;29800
Holden;1992;Commodore;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Unleaded;161817;Braybrook, VIC;Oceania;Sedan;4; 4 Doors;5; 5 Seats;5488
Ford;1993;Falcon;USED;Manual;8;8 cyl;4.9;4.9 L;8 cyl, 4.9 L;Rear;Unleaded;409184;Fyshwick, ACT;North America;Sedan;4; 4 Doors;5; 5 Seats;67500
Toyota;1993;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;452920;Ferntree Gully, VIC;Asia;SUV;2; 2 Doors;6; 6 Seats;24999
Toyota;1993;Landcruiser;USED;Automatic;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;413515;Westcourt, QLD;Asia;SUV;4; 4 Doors;8; 8 Seats;12999
Holden;1994;Commodore;USED;Automatic;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Unleaded;241870;Capalaba, QLD;Oceania;Ute / Tray;2; 2 Doors;3; 3 Seats;29990
Mazda;1994;E2000;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Rear;Unleaded;183197;Arundel, QLD;Asia;Commercial;2; 2 Doors;3; 3 Seats;14999
Toyota;1994;Landcruiser;USED;Automatic;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;331794;West Footscray, VIC;Asia;SUV;4; 4 Doors;8; 8 Seats;18999
Holden;1994;Commodore;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Unleaded;48835;Caringbah, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;16950
Nissan;1994;300ZX;USED;Manual;6;6 cyl;3;3 L;6 cyl, 3 L;Rear;Premium;171146;Richmond, NSW;Asia;Coupe;2; 2 Doors;4; 4 Seats;39980
Toyota;1995;Corolla;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;204004;Wentworthville, NSW;Asia;Hatchback;5; 5 Doors;5; 5 Seats;2995
Ford;1996;Fairmont;USED;Automatic;8;8 cyl;4.9;4.9 L;8 cyl, 4.9 L;Rear;Unleaded;432939;Minchinbury, NSW;North America;Sedan;4; 4 Doors;5; 5 Seats;7995
Ford;1996;Courier;USED;Automatic;4;4 cyl;2.6;2.6 L;4 cyl, 2.6 L;Rear;Unleaded;393675;Chester Hill, NSW;North America;Ute / Tray;4; 4 Doors;5; 5 Seats;3499
Toyota;1996;Corolla;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;159657;Mansfield, QLD;Asia;Sedan;4; 4 Doors;5; 5 Seats;8888
Toyota;1996;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;386381;Warrenheip, AU-VIC;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;22000
Holden;1996;Commodore;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Unleaded;328528;Hoppers Crossing, VIC;Oceania;Wagon;4; 4 Doors;5; 5 Seats;6499
HSV;1996;Maloo;USED;Automatic;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Unleaded;196528;Wangara, WA;Oceania;Ute / Tray;2; 2 Doors;3; 3 Seats;39990
Suzuki;1996;Sierra;USED;Manual;4;4 cyl;1.3;1.3 L;4 cyl, 1.3 L;4WD;Unleaded;78881;West Ryde, NSW;Asia;SUV;2; 2 Doors;4; 4 Seats;26888
Ford;1997;Falcon;USED;Automatic;6;6 cyl;4;4 L;6 cyl, 4 L;Rear;Unleaded;211441;Penrith, NSW;North America;Wagon;4; 4 Doors;5; 5 Seats;6950
Toyota;1997;Camry;USED;Automatic;4;4 cyl;2.2;2.2 L;4 cyl, 2.2 L;Front;Unleaded;113704;Ringwood, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;8490
BMW;1997;318I;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Rear;Unleaded;335783;Braybrook, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;6988
Toyota;1998;Landcruiser;USED;Manual;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;252221;Cheltenham, VIC;Asia;SUV;4; 4 Doors;8; 8 Seats;22990
Holden;1998;Jackaroo;USED;Automatic;6;6 cyl;3.5;3.5 L;6 cyl, 3.5 L;4WD;Unleaded;187400;Enfield, SA;Oceania;SUV;4; 4 Doors;7; 7 Seats;10990
Toyota;1998;Hilux;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;248767;Minchinbury, NSW;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;15995
Toyota;1998;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;415902;Beresfield, NSW;Asia;SUV;4; 4 Doors;6; 6 Seats;14800
Toyota;1998;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;209031;Penrith, NSW;Asia;SUV;2; 2 Doors;11; 11 Seats;45950
MG;1998;F;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Rear;Premium;79070;Batemans Bay, NSW;Europe;Convertible;2; 2 Doors;2; 2 Seats;14990
Toyota;1998;Corolla;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;208308;Edgeworth, NSW;Asia;Sedan;4; 4 Doors;5; 5 Seats;4990
Ford;1998;Falcon;USED;Automatic;6;6 cyl;4;4 L;6 cyl, 4 L;Rear;Unleaded;237066;Ringwood, VIC;North America;Sedan;4; 4 Doors;5; 5 Seats;14990
Lexus;1998;ES300;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;Front;Premium;149123;Alphington, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;7888
Jaguar;1998;XJ8;USED;Automatic;8;8 cyl;4;4 L;8 cyl, 4 L;Rear;Premium;393000;Aspley, QLD;Europe;Sedan;4; 4 Doors;5; 5 Seats;14999
Jaguar;1998;XJ8;USED;Automatic;8;8 cyl;4;4 L;8 cyl, 4 L;Rear;Premium;248000;Aspley, QLD;Europe;Sedan;4; 4 Doors;5; 5 Seats;24999
Nissan;1998;Pathfinder;USED;Automatic;6;6 cyl;3.3;3.3 L;6 cyl, 3.3 L;4WD;Unleaded;284456;Hoppers Crossing, VIC;Asia;SUV;4; 4 Doors;5; 5 Seats;7999
Toyota;1998;Landcruiser;USED;Automatic;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;312000;Archerfield, QLD;Asia;SUV;4; 4 Doors;8; 8 Seats;16500
Porsche;1998;Boxster;USED;Manual;6;6 cyl;2.5;2.5 L;6 cyl, 2.5 L;Rear;Premium;134000;Sumner, QLD;Europe;Convertible;2; 2 Doors;2; 2 Seats;27250
Daewoo;1998;Lanos;USED;Manual;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;310000;Mount Louisa, QLD;Asia;Sedan;4; 4 Doors;5; 5 Seats;900
Holden;1998;Commodore;USED;Automatic;8;8 cyl;5;5 L;8 cyl, 5 L;Rear;Unleaded;311292;Corio, VIC;Oceania;Sedan;4; 4 Doors;5; 5 Seats;9999
Toyota;1998;Landcruiser;USED;Automatic;6;6 cyl;3.4;3.4 L;6 cyl, 3.4 L;4WD;Unleaded;416885;Mandurah, WA;Asia;SUV;4; 4 Doors;8; 8 Seats;9990
Toyota;1998;Landcruiser;USED;Automatic;6;6 cyl;3.4;3.4 L;6 cyl, 3.4 L;4WD;Unleaded;-;Edgeworth, NSW;Asia;SUV;4; 4 Doors;8; 8 Seats;8990
Toyota;1998;RAV4;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;4WD;Unleaded;308344;Ringwood, VIC;Asia;SUV;2; 2 Doors;4; 4 Seats;8999
Honda;1998;Civic;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;206276;Ringwood, VIC;Asia;Hatchback;3; 3 Doors;5; 5 Seats;7387
Toyota;1999;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;41750;Lidcombe, NSW;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;48999
Subaru;1999;Impreza;USED;Manual;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Premium;118778;Liverpool, NSW;Asia;Sedan;4; 4 Doors;5; 5 Seats;29888
Toyota;1999;Landcruiser;USED;Automatic;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;394167;Coopers Plains, QLD;Asia;SUV;4; 4 Doors;8; 8 Seats;22999
Nissan;1999;Patrol;USED;Manual;6;6 cyl;2.8;2.8 L;6 cyl, 2.8 L;4WD;Diesel;274098;Osborne Park, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;13990
Ford;1999;Festiva;USED;Manual;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;213177;Five Dock, NSW;North America;Hatchback;5; 5 Doors;5; 5 Seats;2500
Toyota;1999;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;51284;Lidcombe, NSW;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;44999
Toyota;1999;Landcruiser;USED;Manual;6;6 cyl;4.2;4.2 L;6 cyl, 4.2 L;4WD;Diesel;221109;Ferntree Gully, VIC;Asia;SUV;2; 2 Doors;11; 11 Seats;27999
Audi;1999;TT;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;AWD;Premium;204026;Ringwood, VIC;Europe;Coupe;2; 2 Doors;4; 4 Seats;15999
Subaru;1999;Liberty;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Unleaded;184482;Arundel, QLD;Asia;Sedan;4; 4 Doors;5; 5 Seats;4999
Holden;1999;Calais;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Unleaded;201000;Mill Park, VIC;Oceania;Sedan;4; 4 Doors;5; 5 Seats;9990
Toyota;1999;Camry;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;Front;Unleaded;96582;Ringwood, VIC;Asia;Wagon;4; 4 Doors;5; 5 Seats;9990
Holden;1999;Vectra;USED;Automatic;4;4 cyl;2.2;2.2 L;4 cyl, 2.2 L;Front;Unleaded;120333;Nerang, QLD;Oceania;Sedan;4; 4 Doors;5; 5 Seats;5990
Toyota;1999;Hilux;USED;Manual;4;4 cyl;2;2 L;4 cyl, 2 L;Rear;Unleaded;203255;Ringwood, VIC;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;9990
Toyota;1999;Hilux;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;299986;Rocklea, QLD;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;14999
Toyota;1999;Landcruiser;USED;Manual;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;473640;Braybrook, VIC;Asia;SUV;4; 4 Doors;6; 6 Seats;13988
Honda;1999;Civic;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;220374;Maidstone, VIC;Asia;Hatchback;3; 3 Doors;5; 5 Seats;6995
Mazda;1999;MX-5;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Rear;Unleaded;304382;Braybrook, VIC;Asia;Convertible;2; 2 Doors;2; 2 Seats;7788
Lexus;1999;LX470;USED;Automatic;8;8 cyl;4.7;4.7 L;8 cyl, 4.7 L;4WD;Premium;240000;Brooklyn, VIC;Asia;SUV;4; 4 Doors;8; 8 Seats;24999
Nissan;1999;Pulsar;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;168427;Gepps Cross, SA;Asia;Hatchback;5; 5 Doors;5; 5 Seats;6990
Mercedes-Benz;1999;C200;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Rear;Unleaded;205440;Five Dock, NSW;Europe;Sedan;4; 4 Doors;5; 5 Seats;4999
Subaru;1999;Liberty;USED;Manual;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Unleaded;274144;Minchinbury, NSW;Asia;Sedan;4; 4 Doors;5; 5 Seats;5995
Nissan;2000;Pulsar;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;300539;Wentworthville, NSW;Asia;Hatchback;5; 5 Doors;5; 5 Seats;2995
Mazda;2000;E2000;USED;Manual;4;4 cyl;2;2 L;4 cyl, 2 L;Rear;Unleaded;369953;Molendinar, QLD;Asia;Commercial;2; 2 Doors;3; 3 Seats;5990
Mazda;2000;MX-5;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Rear;Unleaded;238498;Chester Hill, NSW;Asia;Convertible;2; 2 Doors;2; 2 Seats;9999
Audi;2000;TT;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;AWD;Premium;205870;Essendon, VIC;Europe;Convertible;2; 2 Doors;2; 2 Seats;13990
Mazda;2000;323;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;211114;Lansvale, NSW;Asia;Hatchback;5; 5 Doors;5; 5 Seats;4550
Toyota;2000;RAV4;USED;Manual;4;4 cyl;2;2 L;4 cyl, 2 L;4WD;Unleaded;287500;Mount Lawley, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;5990
Mercedes-Benz;2000;A190;USED;Automatic;4;4 cyl;1.9;1.9 L;4 cyl, 1.9 L;Front;Unleaded;104431;Croydon, NSW;Europe;Hatchback;5; 5 Doors;5; 5 Seats;6990
Honda;2000;Integra;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Premium;205364;Chipping Norton, NSW;Asia;Coupe;2; 2 Doors;4; 4 Seats;48880
Toyota;2000;Hilux;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;128896;Liverpool, NSW;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;29950
Ford;2000;Falcon;USED;Automatic;6;6 cyl;4;4 L;6 cyl, 4 L;Rear;Unleaded;84923;Ringwood, VIC;North America;Sedan;4; 4 Doors;5; 5 Seats;11990
Toyota;2000;Hilux;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;241621;Nunawading, VIC;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;19990
Toyota;2000;Avalon;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;Front;Unleaded;209702;Ringwood, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;7990
Mercedes-Benz;2000;CLK320;USED;Automatic;6;6 cyl;3.2;3.2 L;6 cyl, 3.2 L;Rear;Premium;156004;Laverton North, VIC;Europe;Convertible;2; 2 Doors;4; 4 Seats;16990
Nissan;2000;Patrol;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;388433;Rocklea, QLD;Asia;SUV;4; 4 Doors;7; 7 Seats;11999
Audi;2000;A4;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;AWD;Premium;292000;Brooklyn, VIC;Europe;Sedan;4; 4 Doors;5; 5 Seats;2999
Toyota;2000;Hilux;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;492659;Corio, VIC;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;7999
Toyota;2000;RAV4;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;4WD;Unleaded;236487;Slacks Creek, QLD;Asia;SUV;4; 4 Doors;5; 5 Seats;7990
Mazda;2000;121;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;201000;Coorparoo, QLD;Asia;Hatchback;5; 5 Doors;5; 5 Seats;5990
Mitsubishi;2000;Pajero;USED;Automatic;6;6 cyl;3.5;3.5 L;6 cyl, 3.5 L;4WD;Unleaded;320000;Slacks Creek, QLD;Asia;SUV;4; 4 Doors;7; 7 Seats;8900
Holden;2000;Statesman;USED;Automatic;6;6 cyl;3.8;3.8 L;6 cyl, 3.8 L;Rear;Premium;242651;Rocklea, QLD;Oceania;Sedan;4; 4 Doors;5; 5 Seats;6999
Toyota;2000;Corolla;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;188072;Blair Athol, SA;Asia;Hatchback;5; 5 Doors;5; 5 Seats;5999
Toyota;2000;RAV4;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;4WD;Unleaded;136650;Beverley, SA;Asia;SUV;4; 4 Doors;5; 5 Seats;6990
Hyundai;2000;Accent;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;217162;Mount Pleasant, VIC;Asia;Hatchback;5; 5 Doors;5; 5 Seats;5490
Ford;2000;Laser;USED;Automatic;4;4 cyl;1.6;1.6 L;4 cyl, 1.6 L;Front;Unleaded;207233;Winnellie, NT;North America;Sedan;4; 4 Doors;5; 5 Seats;4990
Toyota;2000;Camry;USED;Automatic;4;4 cyl;2.2;2.2 L;4 cyl, 2.2 L;Front;Unleaded;343770;Mount Louisa, QLD;Asia;Sedan;4; 4 Doors;5; 5 Seats;2500
Toyota;2000;Camry;USED;Automatic;4;4 cyl;2.2;2.2 L;4 cyl, 2.2 L;Front;Unleaded;139601;Rockingham, WA;Asia;Sedan;4; 4 Doors;5; 5 Seats;6990
Holden;2000;Commodore;USED;Automatic;8;8 cyl;5.7;5.7 L;8 cyl, 5.7 L;Rear;Unleaded;240566;Osborne Park, WA;Oceania;Sedan;4; 4 Doors;5; 5 Seats;19990
Nissan;2000;Patrol;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;370553;Victoria Park, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;15990
Holden;2000;Commodore;USED;Manual;8;8 cyl;5.7;5.7 L;8 cyl, 5.7 L;Rear;Unleaded;37649;Saint Marys, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;58888
HSV;2000;Senator;USED;Automatic;8;8 cyl;5.7;5.7 L;8 cyl, 5.7 L;Rear;Premium;221501;Carss Park, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;24990
Mercedes-Benz;2000;S430;USED;Automatic;8;8 cyl;4.3;4.3 L;8 cyl, 4.3 L;Rear;Premium;286200;Biggera Waters, QLD;Europe;Sedan;4; 4 Doors;5; 5 Seats;7999
Nissan;2001;Patrol;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;309774;Kogarah, NSW;Asia;SUV;4; 4 Doors;7; 7 Seats;16950
Toyota;2001;Hilux;USED;Manual;4;4 cyl;2;2 L;4 cyl, 2 L;Rear;Unleaded;392793;Blacktown, NSW;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;4750
Ferrari;2001;360;USED;Manual;8;8 cyl;3.6;3.6 L;8 cyl, 3.6 L;Rear;Premium;47381;Rushcutters Bay, NSW;Europe;Convertible;2; 2 Doors;2; 2 Seats;219880
Honda;2001;CR-V;USED;Automatic;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;4WD;Unleaded;303221;Chester Hill, NSW;Asia;SUV;4; 4 Doors;5; 5 Seats;3499
Nissan;2001;Patrol;USED;Automatic;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;156956;Capalaba, QLD;Asia;SUV;4; 4 Doors;7; 7 Seats;16990
Land;2001;Rover;USED;Automatic;8;8 cyl;4;4 L;8 cyl, 4 L;4WD;Unleaded;315338;Minchinbury, NSW;Europe;SUV;4; 4 Doors;5; 5 Seats;8995
Toyota;2001;Corolla;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;156238;Minto, NSW;Asia;Sedan;4; 4 Doors;5; 5 Seats;4700
Mazda;2001;323;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;165000;Leumeah, NSW;Asia;Hatchback;5; 5 Doors;5; 5 Seats;3300
Mazda;2001;Tribute;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;4WD;Unleaded;293647;Lansvale, NSW;Asia;SUV;4; 4 Doors;5; 5 Seats;4990
Volkswagen;2001;Transporter;USED;Manual;5;5 cyl;2.5;2.5 L;5 cyl, 2.5 L;Front;Unleaded;174486;Kurri Kurri, NSW;Europe;Commercial;4; 4 Doors;5; 5 Seats;6999
HSV;2001;Clubsport;USED;Automatic;8;8 cyl;5.7;5.7 L;8 cyl, 5.7 L;Rear;Premium;156369;Cardiff, NSW;Oceania;Sedan;4; 4 Doors;5; 5 Seats;27913
Nissan;2001;Pulsar;USED;Manual;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;151872;Kurri Kurri, NSW;Asia;Hatchback;5; 5 Doors;5; 5 Seats;4499
Ford;2001;Escape;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;4WD;Unleaded;212085;Shepparton, VIC;North America;SUV;4; 4 Doors;5; 5 Seats;5990
Nissan;2001;Navara;USED;Manual;6;6 cyl;3;3 L;6 cyl, 3 L;4WD;Unleaded;235256;Edgeworth, NSW;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;8990
Toyota;2001;Hilux;USED;Manual;4;4 cyl;3;3 L;4 cyl, 3 L;4WD;Diesel;337400;Ferntree Gully, VIC;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;13999
Hyundai;2001;Elantra;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;118937;Fawkner, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;5999
Toyota;2001;Landcruiser;USED;Automatic;6;6 cyl;4.5;4.5 L;6 cyl, 4.5 L;4WD;Unleaded;223879;Ferntree Gully, VIC;Asia;SUV;4; 4 Doors;8; 8 Seats;19999
Hyundai;2001;Elantra;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;216332;Nerang, QLD;Asia;Sedan;4; 4 Doors;5; 5 Seats;4989
Toyota;2001;Hilux;USED;Manual;4;4 cyl;2.7;2.7 L;4 cyl, 2.7 L;Rear;Unleaded;212882;Slacks Creek, QLD;Asia;Ute / Tray;2; 2 Doors;3; 3 Seats;10490
Kia;2001;Spectra;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;120792;Braybrook, VIC;Asia;Hatchback;5; 5 Doors;5; 5 Seats;7999
Ford;2001;Courier;USED;Manual;4;4 cyl;2.6;2.6 L;4 cyl, 2.6 L;Rear;Unleaded;180818;Braybrook, VIC;North America;Ute / Tray;2; 2 Doors;4; 4 Seats;7799
Toyota;2001;Camry;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;Front;Unleaded;185630;Altona North, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;5999
Mitsubishi;2001;Pajero;USED;Automatic;6;6 cyl;3.5;3.5 L;6 cyl, 3.5 L;4WD;Unleaded;266185;Seaford, VIC;Asia;SUV;4; 4 Doors;7; 7 Seats;12990
Toyota;2001;Camry;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;Front;Unleaded;286601;Braybrook, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;5999
Toyota;2001;Avalon;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;Front;Unleaded;259724;Braybrook, VIC;Asia;Sedan;4; 4 Doors;5; 5 Seats;7799
Mazda;2001;MPV;USED;Automatic;6;6 cyl;2.5;2.5 L;6 cyl, 2.5 L;Front;Unleaded;160757;Ravenhall, VIC;Asia;Wagon;4; 4 Doors;7; 7 Seats;7999
Audi;2001;A4;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Premium;203121;Windsor Gardens, SA;Europe;Sedan;4; 4 Doors;5; 5 Seats;3990
Mitsubishi;2001;Triton;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;Rear;Unleaded;341850;Mount Louisa, QLD;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;5800
Ford;2001;Escape;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;4WD;Unleaded;330278;Blair Athol, SA;North America;SUV;4; 4 Doors;5; 5 Seats;3999
Holden;2001;Commodore;USED;Automatic;8;8 cyl;5.7;5.7 L;8 cyl, 5.7 L;Rear;Unleaded;234384;Wangara, WA;Oceania;Sedan;4; 4 Doors;5; 5 Seats;17990
Nissan;2002;Pulsar;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;169981;Minchinbury, NSW;Asia;Sedan;4; 4 Doors;5; 5 Seats;7880
